Image_name,Card-set,Card_number,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Password,Status,Effect types,Ritual required,Property,Ritual Monster required,Pendulum Scale,Rank,Link Arrows,ATK / LINK,Other names (Japanese),Summoned by the effect of
DCR-025 R.png,Dark Crisis,DCR-025,Rare,Fear from the Dark,,Monster,DARK,Zombie / Effect,4.0,1700 / 1500,34193084,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
BLVO-EN025 SR.png,Blazing Vortex,BLVO-EN025,Super Rare,Ancient Warriors - Rebellious Lu Feng,,Monster,DARK,Beast-Warrior / Effect,8.0,2800 / 2200,82791472,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Condition', 'Quick', 'Condition', 'Trigger']",,,,,,,,,
LON-060 C.png,Labyrinth of Nightmare,LON-060,Common,Lightning Conger,,Monster,WATER,Thunder,3.0,350 / 750,27671321,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
EXFO-EN015 C.png,Extreme Force,EXFO-EN015,Common,Mekk-Knight Green Horizon,,Monster,LIGHT,Psychic / Effect,6.0,2100 / 1600,66022706,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Trigger']",,,,,,,,,
ABYR-EN096 C.png,Abyss Rising,ABYR-EN096,Common,Fishborg Launcher,,Monster,WATER,Fish / Tuner / Effect,1.0,200 / 100,66853752,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Ignition', 'Condition']",,,,,,,,,
BOSH-EN086 ScR.png,Breakers of Shadow,BOSH-EN086,Secret Rare,Kozmojo,,Trap,,,,,90452877,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
LON-032 C.png,Labyrinth of Nightmare,LON-032,Common,Amazoness Archer,Amazon Archer,Monster,EARTH,Warrior / Effect,4.0,1400 / 1000,91869203,"['Forbidden (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
GAOV-EN019 SR.png,Galactic Overlord,GAOV-EN019,Super Rare,Hieratic Dragon of Gebeb,,Monster,LIGHT,Dragon / Effect,4.0,1800 / 400,78033100,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger']",,,,,,,,,
SHVI-EN047 UR.png,Shining Victories,SHVI-EN047,Ultra Rare,Lunalight Panther Dancer,,Monster,DARK,Beast-Warrior / Fusion / Effect,8.0,2800 / 2500,97165977,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Ignition', 'Trigger']",,,,,,,,,
TDGS-EN069 SR.png,The Duelist Genesis,TDGS-EN069,Super Rare,Broken Blocker,,Trap,,,,,60930169,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
ABPF-EN055 SR.png,Absolute Powerforce,ABPF-EN055,Super Rare,Iron Core Specimen Lab,,Spell,,,,,53039326,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Maintenance cost', 'Trigger-like']",,Field,,,,,,,
DANE-EN061 C.png,Dark Neostorm,DANE-EN061,Common,Crusadia Testament,,Spell,,,,,87497553,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Quick-Play,,,,,,,
DREV-EN068 C.png,Duelist Revolution,DREV-EN068,Common,Barrier Wave,,Trap,,,,,96700602,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Activation requirement', 'Effect']",,Normal,,,,,,,
PTDN-EN077 R.png,Phantom Darkness,PTDN-EN077,Rare,Offering to the Snake Deity,,Trap,,,,,93217231,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
RATE-EN023 C.png,Raging Tempest,RATE-EN023,Common,Shinobird Crane,,Monster,WIND,Winged Beast / Spirit / Effect,4.0,1500 / 1500,66815913,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Trigger', 'Trigger']",,,,,,,,,
FOTB-EN033 UR.png,Force of the Breaker,FOTB-EN033,Ultra Rare,Rare Value,,Spell,,,,,60876124,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
SHVI-EN036 SR.png,Shining Victories,SHVI-EN036,Super Rare,Red-Eyes Toon Dragon,,Monster,DARK,Dragon / Toon / Effect,7.0,2400 / 2000,31733941,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous', 'Ignition']",,,,,,,,,
CBLZ-EN005 R.png,Cosmo Blazer,CBLZ-EN005,Rare,ZW - Lightning Blade,,Monster,LIGHT,Beast / Effect,5.0,1200 / 2000,45082499,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Continuous-like', 'Continuous-like', 'Continuous-like', 'Unclassified']",,,,,,,,,
CORE-EN036 UR.png,Clash of Rebellions,CORE-EN036,Ultra Rare,Aromage Rosemary,,Monster,WATER,Plant / Effect,4.0,1800 / 700,58569561,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger']",,,,,,,,,
BODE-EN031 C.png,Burst of Destiny,BODE-EN031,Common,Fengli the Soldrapom,,Monster,FIRE,Plant / Tuner / Effect,1.0,800 / 0,35311929,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Continuous']",,,,,,,,,
IOC-101 R.png,Invasion of Chaos,IOC-101,Rare,Destruction Ring,,Trap,,,,,21219755,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
TAEV-EN029 C.png,Tactical Evolution,TAEV-EN029,Common,Gravitic Orb,,Monster,DARK,Fiend / Effect,3.0,1100 / 700,29216198,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Flip'],,,,,,,,,
ANPR-EN017 UR.png,Ancient Prophecy,ANPR-EN017,Ultra Rare,Earthbound Immortal Chacu Challhua,,Monster,DARK,Fish / Effect,10.0,2900 / 2400,69931927,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Continuous', 'Continuous', 'Continuous', 'Ignition', 'Condition', 'Continuous']",,,,,,,,,
PGD-013 R.png,Pharaonic Guardian,PGD-013,Rare,Moisture Creature,,Monster,LIGHT,Fairy / Effect,9.0,2800 / 2900,75285069,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Summoning condition', 'Trigger']",,,,,,,,,
PSV-035 R.png,Pharaoh's Servant,PSV-035,Rare,Nobleman of Extermination,,Spell,,,,,17449108,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Effect'],,Normal,,,,,,,
GLAS-EN002 C.png,Gladiator's Assault,GLAS-EN002,Common,Cloudian - Smoke Ball,,Monster,WATER,Fairy,1.0,200 / 600,80825553,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
SECE-EN016 C.png,Secrets of Eternity,SECE-EN016,Common,Infernoid Piaty,,Monster,FIRE,Fiend / Effect,5.0,2200 / 0,25811989,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Trigger', 'Quick']",,,,,,,,,
STBL-EN087 R.png,Starstrike Blast,STBL-EN087,Rare,Koa'ki Meiru Wall,,Monster,EARTH,Rock / Effect,4.0,1900 / 1200,66816282,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Maintenance cost', 'Quick']",,,,,,,,,
EEN-EN057 C.png,Elemental Energy,EEN-EN057,Common,Chthonian Polymer,,Trap,,,,,72287557,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Cost', 'Effect']",,Normal,,,,,,,
MFC-096 SR.png,Magician's Force,MFC-096,Super Rare,Amazoness Archers,Amazon Archers,Trap,,,,,67987611,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
BACH-EN047 C.png,Battle of Chaos,BACH-EN047,Common,Ghostrick Festival,,Monster,DARK,Spellcaster / Link / Effect,,,35871958,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Trigger', 'Condition']",,,,,,Bottom-Center,0 / 1,,
BLVO-EN053 C.png,Blazing Vortex,BLVO-EN053,Common,Armed Dragon Lightning,,Spell,,,,,97091969,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Ignition-like', 'Condition']",,Continuous,,,,,,,
RATE-EN026 R.png,Raging Tempest,RATE-EN026,Rare,Spiritual Beast Tamer Winda,,Monster,WIND,Psychic / Effect,4.0,1600 / 1800,65193366,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
EXFO-EN094 UR.png,Extreme Force,EXFO-EN094,Ultra Rare,"Isolde, Two Tales of the Noble Knights",,Monster,LIGHT,Warrior / Link / Effect,,,59934749,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right",1600 / 2,,
FOTB-EN002 C.png,Force of the Breaker,FOTB-EN002,Common,Crystal Beast Amethyst Cat,,Monster,EARTH,Beast / Effect,3.0,1200 / 400,32933942,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Continuous', 'Unclassified']",,,,,,,,,
DUEA-EN049 UR.png,Duelist Alliance,DUEA-EN049,Ultra Rare,El Shaddoll Construct,,Monster,LIGHT,Fairy / Fusion / Effect,8.0,2800 / 2500,20366274,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Trigger', 'Trigger', 'Trigger']",,,,,,,,,
SAST-EN000 UR.png,Savage Strike,SAST-EN000,Ultra Rare,Danger! Ogopogo!,,Monster,DARK,Sea Serpent / Effect,8.0,1200 / 3000,83518674,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition']",,,,,,,,,
CYHO-EN006 C.png,Cybernetic Horizon,CYHO-EN006,Common,Crusadia Reclusia,,Monster,FIRE,Spellcaster / Effect,3.0,400 / 2000,55241609,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Trigger', 'Condition']",,,,,,,,,
REDU-EN069 C.png,Return of the Duelist,REDU-EN069,Common,Stonehenge Methods,,Trap,,,,,86555018,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
JOTL-EN022 R.png,Judgment of the Light,JOTL-EN022,Rare,Mecha Phantom Beast Warbluran,,Monster,WIND,Machine / Tuner / Effect,1.0,300 / 300,31480215,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous', 'Ignition', 'Condition']",,,,,,,,,
LTGY-EN023 C.png,Lord of the Tachyon Galaxy,LTGY-EN023,Common,Mecha Phantom Beast Blackfalcon,,Monster,WIND,Machine / Effect,4.0,1200 / 1700,04417407,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous', 'Continuous', 'Quick']",,,,,,,,,
EXVC-EN097 ScR.png,Extreme Victory,EXVC-EN097,Secret Rare,Scrap Orthros,,Monster,EARTH,Beast / Tuner / Effect,4.0,1700 / 1100,64550682,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Trigger', 'Trigger']",,,,,,,,,
SHVI-EN030 ScR.png,Shining Victories,SHVI-EN030,Secret Rare,Amorphage Sloth,,Monster,EARTH,Dragon / Pendulum / Effect,6.0,2250 / 0,32687071,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Continuous-like', 'Maintenance cost', 'Monster Effect', 'Continuous']",,,,3.0,,,,,
EXVC-EN007 C.png,Extreme Victory,EXVC-EN007,Common,Clock Resonator,,Monster,EARTH,Fiend / Tuner / Effect,3.0,1200 / 600,77087109,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
ORCS-EN018 C.png,Order of Chaos,ORCS-EN018,Common,Inzektor Ant,,Monster,DARK,Insect / Effect,3.0,200 / 600,95395761,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Continuous-like', 'Continuous-like']",,,,,,,,,
AST-005 C.png,Ancient Sanctuary,AST-005,Common,Metal Armored Bug,,Monster,EARTH,Insect / Normal,8.0,2800 / 1500,65957473,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",,,,,,,,,,
GFP2-EN156 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN156,Ultra Rare,Inzektor Sword - Zektkaliber,,Spell,,,,,16550875,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Continuous-like', 'Trigger-like']",,Equip,,,,,,,
BODE-EN080 C.png,Burst of Destiny,BODE-EN080,Common,Laundry Trap,,Trap,,,,,79371769,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger-like', 'Trigger-like', 'Condition']",,Continuous,,,,,,,
ROTD-EN093 SR.png,Rise of the Duelist,ROTD-EN093,Super Rare,Rampaging Smashtank Rhynosaber,,Monster,FIRE,Machine / Synchro / Effect,7.0,2400 / 2100,82197831,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition']",,,,,,,,,
SOI-EN041 R.png,Shadow of Infinity,SOI-EN041,Rare,Phantasmal Martyrs,,Spell,,,,,93224848,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Cost', 'Effect']",,Normal,,,,,,,
CROS-EN078 C.png,Crossed Souls,CROS-EN078,Common,Statue of Anguish Pattern,,Trap,,,,,23626223,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Continuous', 'Trigger']",,Continuous,,,,,,,
ORCS-EN026 R.png,Order of Chaos,ORCS-EN026,Rare,Evoltile Casinerio,,Monster,FIRE,Reptile / Effect,3.0,1600 / 400,56240989,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
CHIM-EN086 SR.png,Chaos Impact,CHIM-EN086,Super Rare,"Phantasos, the Dream Mirror Foe",,Monster,DARK,Beast-Warrior / Effect,4.0,1900 / 900,99792080,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Quick', 'Condition']",,,,,,,,,
ETCO-EN097 SR.png,Eternity Code,ETCO-EN097,Super Rare,Gatchiri @Ignister,,Monster,EARTH,Cyberse / Effect,8.0,0 / 3000,82257671,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Ignition', 'Trigger']",,,,,,,,,
BLVO-EN010 SR.png,Blazing Vortex,BLVO-EN010,Super Rare,Tri-Brigade Kitt,,Monster,FIRE,Beast / Effect,2.0,700 / 1000,56196385,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition']",,,,,,,,,
FLOD-EN028 C.png,Flames of Destruction,FLOD-EN028,Common,Watch Cat,,Monster,EARTH,Beast / Effect,1.0,0 / 1800,70975131,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition']",,,,,,,,,
EXFO-EN073 R.png,Extreme Force,EXFO-EN073,Rare,Mythical Bestiamorph,,Trap,,,,,24429467,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Quick-like', 'Condition']",,Continuous,,,,,,,
CYHO-EN010 SR.png,Cybernetic Horizon,CYHO-EN010,Super Rare,Crusadia Maximus,,Monster,LIGHT,Psychic / Effect,4.0,1600 / 1000,81524756,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Ignition', 'Condition']",,,,,,,,,
PTDN-EN081 ScR.png,Phantom Darkness,PTDN-EN081,Secret Rare,Darklord Zerato,,Monster,DARK,Fairy / Effect,8.0,2800 / 2300,40921744,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition', 'Trigger']",,,,,,,,,
PRIO-EN022 C.png,Primal Origin,PRIO-EN022,Common,Ghostrick Doll,,Monster,DARK,Spellcaster / Effect,2.0,300 / 1200,46925518,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition', 'Trigger']",,,,,,,,,
LON-031 C.png,Labyrinth of Nightmare,LON-031,Common,The Unfriendly Amazon,,Monster,EARTH,Warrior / Effect,4.0,2000 / 1000,65475294,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Maintenance cost'],,,,,,,,,
MRL-075 R.png,Spell Ruler,MRL-075,Rare,Hyozanryu,,Monster,LIGHT,Dragon / Normal,7.0,2100 / 2800,62397231,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
LVAL-EN048 R.png,Legacy of the Valiant,LVAL-EN048,Rare,Number 39: Utopia Roots,,Monster,LIGHT,Warrior / Xyz / Effect,,500 / 100,84124261,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,1.0,,,,
ORCS-EN072 C.png,Order of Chaos,ORCS-EN072,Common,Zenmailstrom,,Trap,,,,,91422370,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
CROS-EN044 ScR.png,Crossed Souls,CROS-EN044,Secret Rare,El Shaddoll Anoyatyllis,,Monster,WATER,Fiend / Fusion / Effect,9.0,2700 / 2000,19261966,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Trigger']",,,,,,,,,
ANPR-EN002 C.png,Ancient Prophecy,ANPR-EN002,Common,Sunny Pixie,,Monster,LIGHT,Spellcaster / Tuner,1.0,300 / 400,73837870,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
CIBR-EN074 SR.png,Circuit Break,CIBR-EN074,Super Rare,World Legacy Trap Globe,,Trap,,,,,16329071,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
CRV-EN032 R.png,Cybernetic Revolution,CRV-EN032,Rare,D.D.M. - Different Dimension Master,,Monster,LIGHT,Spellcaster / Effect,5.0,1700 / 1500,82112775,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
DREV-EN099 ScR.png,Duelist Revolution,DREV-EN099,Secret Rare,Stygian Street Patrol,,Monster,DARK,Fiend / Effect,4.0,1600 / 1200,13521194,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition']",,,,,,,,,
JOTL-EN093 ScR.png,Judgment of the Light,JOTL-EN093,Secret Rare,Coach Soldier Wolfbark,,Monster,FIRE,Beast-Warrior / Effect,4.0,1600 / 1200,03534077,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition']",,,,,,,,,
DCR-067 C.png,Dark Crisis,DCR-067,Common,Vilepawn Archfiend,,Monster,EARTH,Fiend / Effect,2.0,1200 / 200,73219648,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Maintenance cost', 'Continuous', 'Continuous']",,,,,,,,,
GFP2-EN054 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN054,Ultra Rare,The Agent of Entropy - Uranus,,Monster,DARK,Fairy / Tuner / Effect,5.0,2200 / 1200,97750534,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Ignition']",,,,,,,,,
CIBR-EN095 C.png,Circuit Break,CIBR-EN095,Common,Amazoness Empress,,Monster,EARTH,Warrior / Fusion / Effect,8.0,2800 / 2400,04591250,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous', 'Trigger']",,,,,,,,,
EXVC-EN079 SP.png,Extreme Victory,EXVC-EN079,Short Print,Localized Tornado,,Trap,,,,,64681263,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
MACR-EN050 C.png,Maximum Crisis ,MACR-EN050,Common,Magician's Left Hand,,Spell,,,,,13758665,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Continuous,,,,,,,
IGAS-EN079 R.png,Ignition Assault,IGAS-EN079,Rare,Fiendish Portrait,,Trap,,,,,01759808,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
STBL-EN025 C.png,Starstrike Blast,STBL-EN025,Common,Scrap Searcher,,Monster,EARTH,Winged Beast / Effect,1.0,100 / 300,92901944,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger']",,,,,,,,,
TAEV-EN006 ScR.png,Tactical Evolution,TAEV-EN006,Secret Rare,Rainbow Dragon,,Monster,LIGHT,Dragon / Effect,10.0,4000 / 0,79856792,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Condition', 'Summoning condition', 'Summoning condition', 'Condition', 'Quick', 'Ignition']",,,,,,,,,
SOI-EN017 C.png,Shadow of Infinity,SOI-EN017,Common,Tenkabito Shien,,Monster,FIRE,Pyro / Effect,4.0,1500 / 1000,41589166,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
PTDN-EN032 C.png,Phantom Darkness,PTDN-EN032,Common,Imprisoned Queen Archfiend,,Monster,DARK,Fiend / Effect,8.0,2600 / 1700,52248570,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Maintenance cost', 'Trigger', 'Condition']",,,,,,,,,
BLVO-EN071 C.png,Blazing Vortex,BLVO-EN071,Common,S-Force Specimen,,Trap,,,,,82977464,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Quick-like', 'Condition']",,Normal,,,,,,,
DREV-EN067 R.png,Duelist Revolution,DREV-EN067,Rare,Reanimation Wave,,Trap,,,,,60312997,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect', 'Lingering']",,Normal,,,,,,,
STBL-EN096 ScR.png,Starstrike Blast,STBL-EN096,Secret Rare,The Fabled Rubyruda,,Monster,LIGHT,Beast / Tuner,4.0,1100 / 800,94845226,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
ORCS-EN039 UR.png,Order of Chaos,ORCS-EN039,Ultra Rare,Twin Photon Lizard,,Monster,LIGHT,Dragon / Fusion / Effect,6.0,2400 / 1000,29455728,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
SOVR-EN010 R.png,Stardust Overdrive,SOVR-EN010,Rare,Fortune Lady Water,,Monster,WATER,Spellcaster / Effect,4.0,? / ?,29088922,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Trigger']",,,,,,,,,
FLOD-EN038 UR.png,Flames of Destruction,FLOD-EN038,Ultra Rare,Trickstar Bella Madonna,,Monster,LIGHT,Fairy / Link / Effect,,,41302052,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition', 'Condition']",,,,,,"Top-Center,  Bottom-Left,  Bottom-Center,  Middle-Right",2800 / 4,,
ETCO-EN058 C.png,Eternity Code,ETCO-EN058,Common,Link Burst,,Spell,,,,,73287067,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
DAMA-EN021 C.png,Dawn of Majesty,DAMA-EN021,Common,Alien Stealthbuster,,Monster,LIGHT,Reptile / Effect,4.0,1700 / 1500,58066722,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
RGBT-EN037 C.png,Raging Battle,RGBT-EN037,Common,Lava Dragon,,Monster,FIRE,Dragon / Effect,4.0,1600 / 1200,41741922,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
25TH-EN001 UR.png,Battle of Chaos,25TH-EN001,Ultra Rare,Dark Magician,,Monster,DARK,Spellcaster / Normal,7.0,2500 / 2100,46986414,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",,,,,,,,,,
MAGO-EN038 PGR artwork2.png,Maximum Gold,MAGO-EN038,Premium Gold Rare,Sky Striker Ace - Kagari,,Monster,FIRE,Machine / Link / Effect,,,63288573,"['Limited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous', 'Condition']",,,,,,Top-Left,1500 / 1,,
LTGY-EN093 SR.png,Lord of the Tachyon Galaxy,LTGY-EN093,Super Rare,Constellar Sombre,,Monster,LIGHT,Fairy / Effect,4.0,1550 / 1600,78358521,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Unclassified', 'Ignition', 'Ignition']",,,,,,,,,
REDU-EN070 C.png,Return of the Duelist,REDU-EN070,Common,Madolche Lesson,,Trap,,,,,12940613,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
LED8-EN042 C.png,Legendary Duelists: Synchro Storm,LED8-EN042,Common,Lyrilusc - Cobalt Sparrow,,Monster,WIND,Winged Beast / Effect,1.0,0 / 100,34550857,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Unclassified', 'Continuous']",,,,,,,,,
CDIP-EN024 R.png,Cyberdark Impact,CDIP-EN024,Rare,Vanity's Ruler,,Monster,LIGHT,Fairy / Effect,8.0,2500 / 1600,72634965,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous']",,,,,,,,,
TLM-EN048 C.png,The Lost Millennium,TLM-EN048,Common,Impenetrable Formation,,Spell,,,,,96631852,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Continuous-like', 'Continuous-like']",,Continuous,,,,,,,
PHSW-EN032 SP.png,Photon Shockwave,PHSW-EN032,Short Print,Rodenut,,Monster,EARTH,Beast / Effect,1.0,100 / 100,13478040,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition']",,,,,,,,,
SECE-EN009 C.png,Secrets of Eternity,SECE-EN009,Common,Superheavy Samurai Soulpiercer,,Monster,EARTH,Machine / Effect,4.0,1200 / 0,90361010,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Continuous-like', 'Trigger']",,,,,,,,,
STBL-EN050 R.png,Starstrike Blast,STBL-EN050,Rare,Wattcastle,,Spell,,,,,58924378,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Field,,,,,,,
IOC-075 UR.png,Invasion of Chaos,IOC-075,Ultra Rare,Black Tyranno,,Monster,EARTH,Dinosaur / Effect,7.0,2600 / 1800,38670435,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Continuous'],,,,,,,,,
EXFO-EN092 SR.png,Extreme Force,EXFO-EN092,Super Rare,Gem-Knight Phantom Quartz,,Monster,EARTH,Rock / Link / Effect,,,24484270,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right",1450 / 2,,
PHRA-EN053 ScR.png,Phantom Rage,PHRA-EN053,Secret Rare,Tri-Brigade Airborne Assault,,Spell,,,,,51097887,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Quick-Play,,,,,,,
SECE-EN065 C.png,Secrets of Eternity,SECE-EN065,Common,Pendulum Shift,,Spell,,,,,69982329,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Quick-Play,,,,,,,
DIFO-EN100 StR.png,Dimension Force,DIFO-EN100,Starlight Rare,Ghost Belle & Haunted Mansion,,Monster,EARTH,Zombie / Tuner / Effect,3.0,0 / 1800,73642296,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Condition']",,,,,,,,,
